cond_numeric	Condition	participant_a	participant_b	z_transformed_rank_r	pp_a_n_clusters	pp_b_n_clusters	cat_diff_log_ratio_a	cat_diff_log_ratio_b	mean_alignment_within	mean_alignment_between
-1	Baseline	CEL_baseline_115	CEL_baseline_177	0.103613397	4	2	0.2215584	0.997333253	0.046153664	-0.38650213
-1	Baseline	CEL_baseline_115	CEL_baseline_179	0.141205914	4	3	0.2215584	0.266157758	0.054009734	0.192564404
-1	Baseline	CEL_baseline_115	CEL_baseline_181	0.01670825	4	2	0.2215584	0.238608073	0.00335022	-0.072928296
-1	Baseline	CEL_baseline_115	CEL_baseline_182	0.134864165	4	2	0.2215584	3.445669382	-0.034555408	-0.150860512
-1	Baseline	CEL_baseline_115	CEL_baseline_183	0.134376182	4	4	0.2215584	1.160857409	-0.000312814	-0.104213132
-1	Baseline	CEL_baseline_115	CEL_baseline_184	0.168444875	4	6	0.2215584	0.680291098	0.04481008	0.172776036
-1	Baseline	CEL_baseline_115	CEL_baseline_185	-0.017839688	4	5	0.2215584	0.239683688	-0.06531063	-0.070190048
-1	Baseline	CEL_baseline_115	CEL_baseline_186	0.131274299	4	4	0.2215584	0.49694547	0.030680202	0.268690841
-1	Baseline	CEL_baseline_115	CEL_baseline_187	0.155169891	4	4	0.2215584	0.196388029	0.400855523	-0.148259544
-1	Baseline	CEL_baseline_115	CEL_baseline_188	0.051345294	4	5	0.2215584	0.22198018	0.109603426	-0.126783581
-1	Baseline	CEL_baseline_115	CEL_baseline_189	0.128179404	4	3	0.2215584	0.17580039	0.121422968	0.213526708
-1	Baseline	CEL_baseline_115	CEL_baseline_191	0.058139977	4	5	0.2215584	0.421234675	0.034750924	-0.070117686
-1	Baseline	CEL_baseline_115	CEL_baseline_193	0.133252222	4	8	0.2215584	0.69979533	-0.047968601	-0.017703619
-1	Baseline	CEL_baseline_115	CEL_baseline_195	0.003954938	4	7	0.2215584	0.118083885	-0.0376687	-0.018411921
-1	Baseline	CEL_baseline_115	CEL_baseline_196	-0.039313956	4	5	0.2215584	0.152536494	-0.055760068	-0.133960939
-1	Baseline	CEL_baseline_115	CEL_baseline_197	0.18330063	4	6	0.2215584	0.845256607	0.096951087	0.094828684
-1	Baseline	CEL_baseline_116	CEL_baseline_118	0.075220168	5	5	0.280682312	-0.066796051	0.261936264	-0.023010361
-1	Baseline	CEL_baseline_116	CEL_baseline_120	-0.057156102	5	5	0.280682312	-0.005659979	-0.039012569	-0.065349589
-1	Baseline	CEL_baseline_116	CEL_baseline_123	0.130274356	5	3	0.280682312	0.3651375	-0.089998882	0.227625943
-1	Baseline	CEL_baseline_116	CEL_baseline_124	0.033146453	5	2	0.280682312	0.090431415	-0.032369205	0.062342869
-1	Baseline	CEL_baseline_116	CEL_baseline_125	-0.094571639	5	3	0.280682312	-0.018682389	0.093476233	-0.286406358
-1	Baseline	CEL_baseline_116	CEL_baseline_126	0.020414248	5	4	0.280682312	0.006696422	0.179089223	-0.152359195
-1	Baseline	CEL_baseline_116	CEL_baseline_128	0.279074956	5	2	0.280682312	0.914291174	-0.069883761	0.347526867
-1	Baseline	CEL_baseline_116	CEL_baseline_129	0.098958583	5	3	0.280682312	1.07280287	-0.089642434	-0.153975137
-1	Baseline	CEL_baseline_116	CEL_baseline_130	0.189562748	5	3	0.280682312	0.264998033	0.1667252	0.077055838
-1	Baseline	CEL_baseline_116	CEL_baseline_131	0.220258495	5	4	0.280682312	0.227739309	0.232586089	-0.099020237
-1	Baseline	CEL_baseline_116	CEL_baseline_133	-0.044025851	5	2	0.280682312	-0.002317724	-0.076396377	-0.022854263
-1	Baseline	CEL_baseline_116	CEL_baseline_134	-0.032410842	5	4	0.280682312	0.152119223	-0.074757219	-0.051951879
