"cond_numeric"	"pair"	"rank_r"	"z_transformed_rank_r"	"adjusted_mutual_info"	"adjusted_rand_index"	"participant_a"	"participant_b"
0	"17-87"	0.336158578263841	0.349755372545383	0.0328980737126876	-0.0033003300330033	17	87
0	"17-106"	0.215926179084074	0.219379088722001	0.206530804334082	0.201710620099786	17	106
0	"17-79"	-0.089542036910458	-0.089782504124913	0.132988107754463	0.0119971771347918	17	79
0	"17-45"	0.240874914559125	0.24570270964251	0.186442720667885	0.219804951237809	17	45
0	"17-41"	0.246753246753247	0.251952590460709	0.180685277797924	0.122944400939702	17	41
0	"17-31"	0.246347340216081	0.251520413132411	0.221379402435573	0.161585365853659	17	31
0	"17-15"	-0.140328092959672	-0.141260243904259	0.0484996178631099	0.0119971771347918	17	15
0	"16-5"	0.149145591250854	0.150266474853417	0.463172503164057	0.361702127659574	16	5
0	"16-94"	0.283253588516746	0.29121594988223	0.35011856749856	0.248291571753986	16	94
0	"16-98"	0.302392344497608	0.312150635321404	0.414620398278028	0.265734265734266	16	98
0	"16-72"	-0.0415584415584416	-0.041582391633021	0.185304916368081	0.136690647482014	16	72
0	"16-119"	0.352221462747779	0.367977586278949	0.35290675933327	0.271523178807947	16	119
0	"16-87"	-0.0326725905673274	-0.0326842239963631	0.172785756809083	0.12280701754386	16	87
0	"16-106"	0.4838004101162	0.52793421367898	0.583661575940658	0.47103274559194	16	106
0	"16-79"	0.239917976760082	0.244687077932277	0.419534847824898	0.295039164490862	16	79
0	"16-45"	0.658441558441558	0.790057411927387	0.581811874554169	0.421841541755889	16	45
0	"16-41"	0.234654818865345	0.23910988093618	0.411159076619883	0.292543021032505	16	41
0	"16-31"	0.191903484366439	0.194312686713402	0.552986892797061	0.385245901639344	16	31
0	"16-15"	-0.179084073820916	-0.181036253692738	0.206192173469316	0.138381201044386	16	15
0	"5-94"	0.0178400546821599	0.0178419476804992	0.191948008864517	0.141061452513966	5	94
0	"5-98"	0.160833902939166	0.162242625261965	0.449746568938509	0.377880184331797	5	98
0	"5-72"	0.0177033492822967	0.0177051990906518	0.510704484518813	0.379699248120301	5	72
0	"5-119"	-0.022282980177717	-0.0222866693418545	0.207145554421885	0.200819672131148	5	119
0	"5-87"	0.314490772385509	0.32552133211132	0.497123332983461	0.361111111111111	5	87
