"","RT","label_cond","label","second_stim","first_stim","first_stim_cat","block","third_stim","isRight","subjCode"
"204",728,-0.5,"noise","square_6","square_6","S",1,"circle_7",1,53
"205",933,-0.5,"noise","circle_4","square_5","S",1,"square_5",1,53
"206",721,-0.5,"noise","circle_4","circle_4","C",1,"square_2",1,53
"207",670,-0.5,"noise","circle_5","circle_5","C",1,"square_2",1,53
"208",814,-0.5,"noise","circle_7","square_5","S",1,"square_5",1,53
"209",647,-0.5,"noise","square_6","square_6","S",1,"circle_3",1,53
"210",849,-0.5,"noise","square_3","square_3","S",1,"circle_6",0,53
"211",844,-0.5,"noise","square_3","circle_7","C",1,"circle_7",1,53
"212",727,-0.5,"noise","circle_5","square_3","S",1,"square_3",1,53
"213",672,-0.5,"noise","square_7","circle_3","C",1,"circle_3",1,53
"214",533,-0.5,"noise","square_4","circle_7","C",1,"circle_7",1,53
"215",570,-0.5,"noise","square_5","circle_2","C",1,"circle_2",1,53
"216",718,-0.5,"noise","square_2","square_2","S",1,"circle_3",1,53
"217",746,-0.5,"noise","circle_3","square_3","S",1,"square_3",1,53
"218",603,-0.5,"noise","square_4","square_4","S",1,"circle_5",1,53
"219",1377,-0.5,"noise","square_2","square_2","S",1,"circle_6",1,53
"220",474,-0.5,"noise","square_5","circle_6","C",1,"circle_6",0,53
"221",854,-0.5,"noise","circle_7","square_2","S",1,"square_2",0,53
"222",879,-0.5,"noise","circle_6","circle_6","C",1,"square_4",1,53
"223",793,-0.5,"noise","circle_2","square_7","S",1,"square_7",1,53
"224",963,-0.5,"noise","square_6","square_6","S",1,"circle_6",1,53
"225",1214,-0.5,"noise","circle_4","square_4","S",1,"square_4",1,53
"226",782,-0.5,"noise","circle_5","circle_5","C",1,"square_6",1,53
"227",889,-0.5,"noise","circle_2","circle_2","C",1,"square_2",1,53
"228",991,-0.5,"noise","circle_6","square_7","S",1,"square_7",0,53
"229",1113,-0.5,"noise","circle_4","circle_4","C",1,"square_7",1,53
"230",790,-0.5,"noise","square_5","circle_3","C",1,"circle_3",1,53
"231",714,-0.5,"noise","circle_2","circle_2","C",1,"square_3",1,53
"232",609,-0.5,"noise","square_3","circle_4","C",1,"circle_4",1,53
"233",394,-0.5,"noise","circle_2","circle_2","C",1,"square_4",1,53
"234",375,-0.5,"noise","square_5","circle_3","C",2,"circle_3",1,53
"235",755,-0.5,"noise","square_3","square_3","S",2,"circle_4",1,53
"236",623,-0.5,"noise","circle_4","square_5","S",2,"square_5",1,53
"237",480,-0.5,"noise","circle_7","square_3","S",2,"square_3",1,53
"238",872,-0.5,"noise","circle_3","circle_3","C",2,"square_2",1,53
